corpusid_sectionid,title,date,section_title,question_rephrased,markdown_link,IDK
237371890-s21,Survey of Low-Resource Machine Translation,2021-09-01,Morphological segmentation.,"How have morphological analyzers been used in subword segmentation for low-resource languages, and what have been the results?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s21.md,False
237371890-s22,Survey of Low-Resource Machine Translation,2021-09-01,Factored models. Factored source and target representations,"How do factored models enhance translation quality in neural machine translation (NMT), and what factors affect their effectiveness?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s22.md,False
237371890-s26,Survey of Low-Resource Machine Translation,2021-09-01,Bilingual lexicons,In what ways have bilingual lexicons been used to improve neural machine translation models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s26.md,False
237371890-s32,Survey of Low-Resource Machine Translation,2021-09-01,Rule-based approaches,"How do modern rule-based machine translation systems, like Apertium, manage translations between languages that are closely related?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s32.md,False
237371890-s33,Survey of Low-Resource Machine Translation,2021-09-01,Evaluation,"What are the two main types of automatic metrics used in machine translation (MT) research, and how do they differ?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s33.md,False
237371890-s37,Survey of Low-Resource Machine Translation,2021-09-01,Data preparation.,What are the methods and benefits of implementing domain tagging in low-resource machine translation tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s37.md,False
237371890-s38,Survey of Low-Resource Machine Translation,2021-09-01,Data pre-processing.,How are transliteration and alphabet mapping utilized in machine translation for languages with different scripts?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s38.md,False
237371890-s41,Survey of Low-Resource Machine Translation,2021-09-01,Using additional data.,How do low-resource machine translation systems leverage synthetic data from related languages?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s41.md,False
21715311-s1,A Survey on Automatically-Constructed WordNets and their Evaluation: Lexical and Word Embedding-based Approaches,2018-05-01,Background -WordNet Construction,"Why is the expansion approach often preferred for constructing WordNets, and how does it facilitate automatic synset construction?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/21715311-s1.md,False
21715311-s4,A Survey on Automatically-Constructed WordNets and their Evaluation: Lexical and Word Embedding-based Approaches,2018-05-01,Bilingual Dictionaries,How do threshold values influence precision and recall in evaluating automatically-constructed Persian WordNets?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/21715311-s4.md,False
21715311-s9,A Survey on Automatically-Constructed WordNets and their Evaluation: Lexical and Word Embedding-based Approaches,2018-05-01,Issues for Evaluating Automatically-Constructed WordNets,What are the challenges and methods involved in the manual evaluation of synsets in automatically-constructed WordNets?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/21715311-s9.md,False
258378266-s5,Neural Ranking with Weak Supervision for Open-Domain Question Answering : A Survey,2023,Choices of Filter,How do filtering methods enhance the quality of questions generated by neural ranking models in open-domain question answering systems?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258378266-s5.md,False
258378266-s10,Neural Ranking with Weak Supervision for Open-Domain Question Answering : A Survey,2023,Answer as a Document,What are the challenges of using QA pairs as positive samples in neural ranking models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258378266-s10.md,False
258378266-s12,Neural Ranking with Weak Supervision for Open-Domain Question Answering : A Survey,2023,Latent-Variable Model,What are the primary limitations of employing the top-k approximation in neural ranking models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258378266-s12.md,False
258378191-s8,A Survey on Recent Advances in Keyphrase Extraction from Pre-trained Language Models,2023,Two-Stage Supervised Keyphrase Extraction Models,"How do recent supervised models approach keyphrase extraction, and what techniques do they employ?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258378191-s8.md,False
258378191-s9,A Survey on Recent Advances in Keyphrase Extraction from Pre-trained Language Models,2023,One-Stage Supervised Keyphrase Extraction Models,How do recent one-stage supervised models enhance keyphrase extraction compared to traditional two-stage approaches?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258378191-s9.md,False
246863418-s1,A Survey on Dynamic Neural Networks for Natural Language Processing,2022-02-15,Skimming,How do skipping and early stopping techniques enhance the efficiency of dynamic neural networks in natural language processing?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/246863418-s1.md,False
246863418-s7,A Survey on Dynamic Neural Networks for Natural Language Processing,2022-02-15,Confidence-based Early Exit,How are confidence-based early exit strategies implemented in BERT inference models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/246863418-s7.md,False
246863418-s9,A Survey on Dynamic Neural Networks for Natural Language Processing,2022-02-15,Internal classifier training Exit criterion,How does the voting mechanism improve the performance of ensemble-based early exit in dynamic neural networks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/246863418-s9.md,False
254877753-s3,Towards Reasoning in Large Language Models: A Survey,2022-12-20,Fully Supervised Finetuning,What are the methods and challenges associated with enhancing reasoning capabilities in small language models through fully supervised finetuning?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/254877753-s3.md,False
254854317-s13,The Decades Progress on Code-Switching Research in NLP: A Systematic Survey on Trends and Challenges,2022-12-19,The Era of Statistical Methods,What statistical methods are commonly employed for text classification and sequence labeling in code-switching research?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/254854317-s13.md,False
264426545-s3,Automatic Pronunciation Assessment -A Review,2023-10-21,Prosodic Errors,"How are prosodic errors categorized in pronunciation assessment, and what factors influence their categorization?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264426545-s3.md,False
264426545-s7,Automatic Pronunciation Assessment -A Review,2023-10-21,Classification based on Acoustic Phonetics,How do classifier-based approaches use segmental and prosodic features in pronunciation assessment?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264426545-s7.md,False
264426545-s12,Automatic Pronunciation Assessment -A Review,2023-10-21,Self-Supervised Models,How do self-supervised models contribute to predicting fluency and prosodic scores in automatic pronunciation assessment?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264426545-s12.md,False
264426545-s13,Automatic Pronunciation Assessment -A Review,2023-10-21,Unsupervised Approaches,How have recent unsupervised methods improved the detection of mispronunciation errors in speech assessment?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264426545-s13.md,False
264426545-s14,Automatic Pronunciation Assessment -A Review,2023-10-21,Data Augmentation,What data augmentation strategies are used to overcome challenges in automatic pronunciation assessment?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264426545-s14.md,False
264426545-s20,Automatic Pronunciation Assessment -A Review,2023-10-21,A,What are the features and components of the SELL-CORPUS designed for L2 English learners in China?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264426545-s20.md,False
264451714-s4,Give Me the Facts! A Survey on Factual Knowledge Probing in Pre-trained Language Models,2023-10-25,Optimized Inputs,How do direct optimization methods improve the effectiveness of prompts when probing pre-trained language models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264451714-s4.md,False
264451714-s7,Give Me the Facts! A Survey on Factual Knowledge Probing in Pre-trained Language Models,2023-10-25,Adapted PLMs,How can pre-trained language models be adapted for evaluation tasks that lack corresponding pre-training objectives?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264451714-s7.md,False
264451714-s8,Give Me the Facts! A Survey on Factual Knowledge Probing in Pre-trained Language Models,2023-10-25,Outputs,What strategies are used to address the challenges of handling multi-token entities in pre-trained language models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264451714-s8.md,False
264451714-s12,Give Me the Facts! A Survey on Factual Knowledge Probing in Pre-trained Language Models,2023-10-25,Should Prompts be Optimized?,What should be considered when assessing the effectiveness of optimized prompts in probing tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264451714-s12.md,False
249204437-s1,How well do real-time machine translation apps perform in practice? Insights from a literature review,2022,MT quality assessment,Why are traditional machine translation (MT) quality metrics often considered inadequate for evaluating real-time MT in synchronous dialogues?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/249204437-s1.md,False
256461385-s2,Narrative Why-Question Answering: A Review of Challenges and Datasets,2022,Causality,How is causation categorized in text based on causal signals and keywords?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/256461385-s2.md,False
256461385-s11,Narrative Why-Question Answering: A Review of Challenges and Datasets,2022,Evaluation measures,How is the performance of free-form QA models assessed in narrative contexts using both automatic and human evaluation methods?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/256461385-s11.md,False
32461868-s2,"A Survey on Intelligent Poetry Generation: Languages, Features, Techniques, Reutilisation and Evaluation",2017-09-01,Form features,How do English poetry generation systems typically handle metre and rhyme?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/32461868-s2.md,False
2395785-s4,To what extent is Immediate Constituency Analysis dependency-based? A survey of foundational texts,2017-09-13,Connection-basedness.,How do dependency trees and phrase structure trees (PSTs) represent syntagmatic relations and connections differently?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/2395785-s4.md,False
12719479-s2,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,"Agreement, Reliability, and Validity",Why is reliability important for validating a coding scheme in computational linguistics?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s2.md,False
12719479-s5,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Agreement Without Chance Correction,Why is observed agreement not sufficient for comparing inter-coder agreement across different studies?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s5.md,False
12719479-s6,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Chance-Corrected Coefficients for Measuring Agreement between Two Coders,How do chance-corrected coefficients assess the level of agreement between two coders beyond what would be expected by chance?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s6.md,False
12719479-s11,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,All Categories Are Equally,What are the issues and limitations of using the coefficient S for measuring inter-coder agreement?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s11.md,False
12719479-s14,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,More Than Two Coders,How do you calculate the expected agreement for multiple coders using pairwise comparisons?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s14.md,False
12719479-s16,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Krippendorff's α and Other Weighted Agreement Coefficients,How does Krippendorff's α handle different types of disagreements in computational linguistics?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s16.md,False
12719479-s23,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Annotator Bias,How does annotator bias affect the interpretation of agreement coefficients like π and κ in computational linguistics?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s23.md,False
12719479-s28,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Establishing Significance.,How is the significance of agreement coefficients established beyond testing against chance agreement?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s28.md,False
12719479-s29,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Interpreting the Value of Kappa-Like Coefficients.,How do the conventions for interpreting kappa-like coefficients differ between medical research and computational linguistics?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s29.md,False
12719479-s31,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Labeling Units with a Common and Predefined Set of Categories: The Case of Dialogue Act Tagging,How do annotation schemes like DAMSL tackle the challenges of multi-tag issues in dialogue act tagging?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s31.md,False
12719479-s39,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Word Senses,"What are the proposed solutions to improve intercoder agreement in word sense tagging, and how effective are they?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s39.md,False
12719479-s41,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Methodology,"How can high reliability be achieved in annotation practices, and what are the potential drawbacks?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s41.md,False
12719479-s43,Survey Article Inter-Coder Agreement for Computational Linguistics,2008-12-01,Interpreting the Values,What detailed information should researchers provide when reporting reliability data in computational linguistics studies?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/12719479-s43.md,False
8132278-s1,A Survey of Idiomatic Preposition-Noun-Verb Triples on Token Level,2010-05-01,Background,"How can idiomatic and literal uses of multiword expressions (MWEs) be automatically distinguished, and what are some methods used for English?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/8132278-s1.md,False
216552915-s4,When do Word Embeddings Accurately Reflect Surveys on our Beliefs About People?,2020-04-25,Dimension Selection,What are the key steps and considerations when using word embeddings to analyze beliefs about social dimensions?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/216552915-s4.md,False
218487374-s5,Text and Causal Inference: A Review of Using Text to Remove Confounding from Causal Estimates,2020-05-01,Measuring confounders via text,"What are the common methods for text representation in NLP, and how do they differ in processing textual information?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/218487374-s5.md,False
218971825-s10,"Language (Technology) is Power: A Critical Survey of ""Bias"" in NLP",2020-05-28,Case study,What strategies do the authors propose to overcome the limitations of current NLP systems in handling African-American English (AAE)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/218971825-s10.md,False
253447259-s1,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,The Task,"How are errors classified and corrected in grammatical error correction, and what challenges arise with annotation schemes?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s1.md,False
253447259-s4,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Annotation Challenges,What challenges and transformations are involved in preprocessing human annotations for Grammatical Error Correction (GEC) systems?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s4.md,False
253447259-s7,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,FCE.,How is the W&I+LOCNESS corpus used to annotate and evaluate grammatical errors in essays?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s7.md,False
253447259-s15,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Statistical Machine Translation,"What are the limitations of SMT-based approaches in grammatical error correction, and how do these limitations affect their performance?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s15.md,False
253447259-s16,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Neural Machine Translation,How does the encoder-decoder framework operate in neural machine translation for correcting grammatical errors?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s16.md,False
253447259-s17,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Recurrent Neural Networks,How have Recurrent Neural Networks (RNNs) been adapted to enhance performance in Grammatical Error Correction (GEC) tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s17.md,False
253447259-s20,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Edit-based approaches,What are the advantages and limitations of the edit generation approach in Grammatical Error Correction (GEC)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s20.md,False
253447259-s22,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Language models as Discriminators,"What is the break-it-fix-it (BIFI) approach in grammatical error correction, and how does it work?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s22.md,False
253447259-s25,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Re-ranking,How does re-ranking enhance grammatical error correction by leveraging additional features and candidate selection methods?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s25.md,False
253447259-s27,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Multi-task learning,In what ways has multi-task learning been utilized to improve grammatical error correction in learner writing?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s27.md,False
253447259-s31,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Data Augmentation,What impact has data augmentation had on the development and performance of Grammatical Error Correction (GEC) systems?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s31.md,False
253447259-s33,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Noise Injection,"How are error patterns utilized in generating synthetic data for grammatical error correction, and what makes them effective?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s33.md,False
253447259-s34,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Back-translation,How has back-translation been adapted and evaluated for grammatical error correction tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s34.md,False
253447259-s36,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Augmenting Official Datasets,How do various methods improve model performance in grammatical error correction by augmenting official datasets?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s36.md,False
253447259-s43,Grammatical Error Correction: A Survey of the State of the Art,2022-11-09,Reference-based Metrics,How do reference-based metrics improve upon traditional methods for evaluating grammatical error correction?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/253447259-s43.md,False
221970053-s4,A Brief Survey and Comparative Study of Recent Development of Pronoun Coreference Resolution in English,2020-09-27,Rule and Feature Based Methods,How were advanced machine learning models utilized for coreference resolution tasks prior to the advent of deep learning?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/221970053-s4.md,False
221970053-s6,A Brief Survey and Comparative Study of Recent Development of Pronoun Coreference Resolution in English,2020-09-27,Further Improvements,What recent advancements have been made to overcome the limitations of the end-to-end model in pronoun coreference resolution?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/221970053-s6.md,False
221970053-s17,A Brief Survey and Comparative Study of Recent Development of Pronoun Coreference Resolution in English,2020-09-27,Language Representation Models,"What are the two approaches for predicting probability in language model-based methods, and which approach yields better performance?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/221970053-s17.md,False
221970053-s21,A Brief Survey and Comparative Study of Recent Development of Pronoun Coreference Resolution in English,2020-09-27,Other PCR Tasks,How is the WinoGender dataset used to assess gender bias in pre-trained language models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/221970053-s21.md,False
237941087-s1,Coreference Resolution for the Biomedical Domain: A Survey,2021-09-25,Background,How do general coreference resolution models perform on biomedical datasets compared to general domain datasets?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237941087-s1.md,False
237941087-s8,Coreference Resolution for the Biomedical Domain: A Survey,2021-09-25,Machine learning-based models,How have hybrid approaches enhanced the performance of biomedical coreference resolution tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237941087-s8.md,False
237941087-s9,Coreference Resolution for the Biomedical Domain: A Survey,2021-09-25,Deep learning-based models,"How have advancements in deep learning models improved biomedical coreference resolution, and what are the outcomes of these enhancements?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237941087-s9.md,False
237941087-s16,Coreference Resolution for the Biomedical Domain: A Survey,2021-09-25,Experimental setup,How are coreference resolution models evaluated in the biomedical domain?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237941087-s16.md,False
11591301-s3,A Survey on the Role of Negation in Sentiment Analysis,2010-07-10,Negation and Bag of Words in Supervised Machine Learning,How is negation typically handled in a bag-of-words model for sentiment analysis?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/11591301-s3.md,False
11591301-s6,A Survey on the Role of Negation in Sentiment Analysis,2010-07-10,Features for Negation Modeling,How do polarity modification features account for language constructions that resemble negation in sentiment analysis?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/11591301-s6.md,False
10690796-s5,A Survey of Ellipsis in Chinese,2015-08-01,Null complement anaphora,What makes it difficult to identify null complement anaphora in Mandarin compared to English?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/10690796-s5.md,False
260899983-s17,Through the Lens of Core Competency: Survey on Evaluation of Large Language Models,2023-08-15,Harmfulness,How do datasets like RealToxicityPrompts and BAD help in understanding and evaluating harmful content in large language models (LLMs)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/260899983-s17.md,False
260899983-s18,Through the Lens of Core Competency: Survey on Evaluation of Large Language Models,2023-08-15,Unfairness and Social Bias,How is social bias assessed in large language models using datasets like CrowS-Pairs and StereoSet?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/260899983-s18.md,False
260899983-s23,Through the Lens of Core Competency: Survey on Evaluation of Large Language Models,2023-08-15,Sentiment Generation,What are the methods used to assess the quality of text generated with sentiment in NLP tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/260899983-s23.md,False
260899983-s24,Through the Lens of Core Competency: Survey on Evaluation of Large Language Models,2023-08-15,Planning,How is the planning ability of large language models evaluated using automated methods?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/260899983-s24.md,False
2044324-s2,A Survey of Current Datasets for Vision and Language Research,2015-06-23,Language Quality,What are the key criteria for assessing the language quality in vision and language datasets?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/2044324-s2.md,False
2044324-s7,A Survey of Current Datasets for Vision and Language Research,2015-06-23,Crowd-sourced Captions,"What makes the Microsoft COCO Dataset important for research in vision and language, and what are its key features?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/2044324-s7.md,False
2044324-s10,A Survey of Current Datasets for Vision and Language Research,2015-06-23,Beyond Visual Description,What are the characteristics and contents of the Visual Question Answering (VQA) Dataset?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/2044324-s10.md,False
258740687-s18,A Survey on Zero Pronoun Translation,2023-05-17,Data-Level Methods Do Not Change Model,How are researchers working to improve zero pronoun translation performance without changing the machine translation architecture?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258740687-s18.md,False
258740687-s19,A Survey on Zero Pronoun Translation,2023-05-17,Overview,Why are general-purpose metrics insufficient for evaluating pronoun-aware translation quality in zero pronoun translation?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258740687-s19.md,False
258557362-s4,Large Language Models Meet NL2Code: A Survey,2022-12-19,Large and Premium Data,What data pre-processing strategies are commonly used to ensure high-quality training corpora for large language models (LLMs) in the NL2Code domain?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258557362-s4.md,False
254877175-s10,A Survey of Deep Learning for Mathematical Reasoning,2022-12-20,In-context Learning for Mathematical Reasoning,How does Chain-of-thought prompting (CoT) improve mathematical reasoning in large language models (LLMs)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/254877175-s10.md,False
254877175-s11,A Survey of Deep Learning for Mathematical Reasoning,2022-12-20,In-context Example Selection,What strategies have been explored to enhance the selection of in-context examples for mathematical reasoning tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/254877175-s11.md,False
254877175-s14,A Survey of Deep Learning for Mathematical Reasoning,2022-12-20,Analysis of Deep Learning Methods,How do recent studies assess the effectiveness of subword tokenization techniques in handling numeracy within language models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/254877175-s14.md,False
